date,nikkei_phase,equity,pnl_day
2025-10-01,uptrend,2970678.5,-29321.5
2025-10-02,uptrend,2959278.5,-11400.0
2025-10-03,uptrend,2964678.5,5400.0
2025-10-06,uptrend,2971778.5,7100.0
2025-10-07,surge,2971778.5,0.0
2025-10-08,surge,2971778.5,0.0
2025-10-09,surge,2971778.5,0.0
2025-10-10,surge,2971778.5,0.0
2025-10-14,surge,2971778.5,0.0
2025-10-15,high_vol,3035064.024536133,63285.52453613281
2025-10-16,high_vol,3056131.174926758,21067.150390625
2025-10-17,high_vol,2974564.524536133,-81566.650390625
2025-10-20,high_vol,3030697.825317383,56133.30078125
2025-10-21,high_vol,2986264.524536133,-44433.30078125
2025-10-22,surge,3090331.174926758,104066.650390625
2025-10-23,high_vol,3148913.424926758,58582.25
2025-10-24,high_vol,3153413.424926758,4500.0
2025-10-27,high_vol,3205213.424926758,51800.0
2025-10-28,surge,3180213.424926758,-25000.0
2025-10-29,surge,3180213.424926758,0.0
2025-10-30,surge,3180213.424926758,0.0
2025-10-31,surge,3180213.424926758,0.0
2025-11-04,surge,3180213.424926758,0.0
2025-11-05,surge,3180213.424926758,0.0
2025-11-06,high_vol,3187407.924926758,7194.5
2025-11-07,high_vol,3185247.924682617,-2160.000244140625
2025-11-10,high_vol,3226733.924682617,41486.0
2025-11-11,high_vol,3187933.924682617,-38800.0
2025-11-12,high_vol,3194383.924682617,6450.0
2025-11-13,high_vol,3205475.924682617,11092.0
2025-11-14,high_vol,3145762.424682617,-59713.5
2025-11-17,high_vol,3086468.924682617,-59293.5
2025-11-18,normal,3015721.4246826177,-70747.49999999953
2025-11-19,normal,2992821.4246826177,-22900.0
2025-11-20,normal,3017921.4246826177,25100.0
2025-11-21,normal,3076087.4246826177,58166.0
2025-11-25,normal,3082787.4246826177,6700.0
2025-11-26,normal,3155187.4246826177,72400.0
2025-11-27,normal,3216787.4246826177,61600.0
2025-11-28,normal,3240159.9246826177,23372.5
2025-12-01,normal,3218944.9246826177,-21215.0
2025-12-02,normal,3186544.9246826177,-32400.0
2025-12-03,normal,3181044.9246826177,-5500.0
2025-12-04,normal,3201244.9246826177,20200.0
2025-12-05,normal,3208144.9246826177,6900.0
2025-12-08,normal,3214844.9246826177,6700.0
2025-12-09,normal,3198444.9246826177,-16400.0
2025-12-10,normal,3183844.9246826177,-14600.0
2025-12-11,normal,3183344.9246826177,-500.0
2025-12-12,normal,3184844.9246826177,1500.0
2025-12-15,normal,3209852.1746826177,25007.25
2025-12-16,normal,3134102.1746826177,-75750.0
2025-12-17,normal,3154252.1746826177,20150.0
2025-12-18,normal,3174452.1746826177,20200.0
2025-12-19,stable,3186152.1746826177,11700.0
2025-12-22,normal,3175767.6746826177,-10384.5
2025-12-23,normal,3191967.6746826177,16200.0
2025-12-24,normal,3179367.6746826177,-12600.0
2025-12-25,normal,3165967.6746826177,-13400.0
2025-12-26,normal,3170167.6746826177,4200.0
2025-12-29,normal,3171867.6746826177,1700.0
2025-12-30,normal,3154768.6746826177,-17099.0
