date,ticker,simple_sector,sector_33,action,price,shares,cash_after,signal_score,macro_confirm_score,macro_corr_score,signal_basis_date,reason
2026-01-06,8515.T,その他金融/リース・消費者金融,その他金融業,BUY,556.2199999999999,100,2944378.0,0.5076024163126068,0.39703191464542875,0.026543038548595112,2026-01-05,buy_breakout_up
2026-01-06,5697.T,鉄鋼/鉄鋼,鉄鋼,BUY,759.0,100,2868478.0,0.4341231964453122,0.39703191464542875,-0.012701637847084678,2026-01-05,buy_breakout_up
2026-01-06,9405.T,大幅増額/情報通信,情報・通信業,BUY,860.7199999999999,100,2782406.0,0.4166600859644206,0.39703191464542875,0.0225672885557485,2026-01-05,buy_breakout_up
2026-01-06,7241.T,輸送用機器/自動車部品,輸送用機器,BUY,1080.975,100,2674308.5,0.4118235266703493,0.39703191464542875,0.04675109476986438,2026-01-05,buy_breakout_up
2026-01-09,8515.T,その他金融/リース・消費者金融,その他金融業,SELL,562.0,100,2730508.5,0.5238089275068327,,,2026-01-08,sell_signal
2026-01-09,5697.T,鉄鋼/鉄鋼,鉄鋼,SELL,742.0,100,2804708.5,0.4672435520037378,,,2026-01-08,sell_signal
2026-01-09,9405.T,大幅増額/情報通信,情報・通信業,SELL,856.0,100,2890308.5,0.42330916958366016,,,2026-01-08,sell_signal
2026-01-09,7241.T,輸送用機器/自動車部品,輸送用機器,SELL,1070.0,100,2997308.5,0.38763988603524807,,,2026-01-08,sell_signal
2026-01-13,8600.T,銀行/地方銀行,銀行業,BUY,834.0,100,2913908.5,0.5537448566737994,0.09979749522995243,0.0450709442504722,2026-01-09,buy_breakout_up
2026-01-13,7246.T,輸送用機器/建設農業機械・産業車両,輸送用機器,BUY,865.795,100,2827329.0,0.46582429522636853,0.09979749522995243,0.06326047799001382,2026-01-09,buy_breakout_up
2026-01-13,9405.T,大幅増額/情報通信,情報・通信業,BUY,871.0,100,2740229.0,0.4286671005787733,0.09979749522995243,0.062067080434228386,2026-01-09,buy_breakout_up
2026-01-14,7241.T,輸送用機器/自動車部品,輸送用機器,BUY,1099.245,800,1860833.0,0.41262577529416605,0.05840097732195687,-0.007664990177040994,2026-01-13,buy_breakout_up
2026-01-15,8600.T,銀行/地方銀行,銀行業,SELL,852.0,100,1946033.0,0.5624522385102487,,,2026-01-14,sell_signal
2026-01-15,7246.T,輸送用機器/建設農業機械・産業車両,輸送用機器,SELL,861.0,100,2032133.0,0.4751016270068569,,,2026-01-14,sell_signal
2026-01-15,9405.T,大幅増額/情報通信,情報・通信業,SELL,863.0,100,2118433.0,0.4326772329008596,,,2026-01-14,sell_signal
2026-01-15,7241.T,輸送用機器/自動車部品,輸送用機器,SELL,1114.0,800,3009633.0,0.4281685650722165,,,2026-01-14,sell_signal
2026-01-23,6343.T,機械/住宅建設,機械,BUY,180.67,400,2937365.0,0.562610276917546,0.7199217883304003,0.02117058721361173,2026-01-22,buy_breakout_up
2026-01-27,6343.T,機械/住宅建設,機械,SELL,186.0,400,3011765.0,0.532039773725553,,,2026-01-26,sell_signal
2026-02-04,6343.T,機械/住宅建設,機械,BUY,185.74499999999998,500,2918892.5,0.576413293452746,0.5929732355594488,0.0313096500201841,2026-02-03,buy_breakout_up
2026-02-04,7246.T,輸送用機器/建設農業機械・産業車両,輸送用機器,BUY,887.1099999999999,100,2830181.5,0.49817721479321764,0.5929732355594488,0.13293282157730016,2026-02-03,buy_breakout_up
