date,nikkei_phase,equity,pnl_day
2024-07-01,stable,2998604.6501464844,-1395.349853515625
2024-07-02,stable,3025171.3005371094,26566.650390625
2024-07-03,uptrend,3017537.9997558594,-7633.30078125
2024-07-04,uptrend,3015937.9997558594,-1600.0
2024-07-05,uptrend,3002504.6501464844,-13433.349609375
2024-07-08,uptrend,3010004.6501464844,7500.0
2024-07-09,uptrend,3032304.6501464844,22300.0
2024-07-10,uptrend,3064371.3005371094,32066.650390625
2024-07-11,uptrend,3070937.9997558594,6566.69921875
2024-07-12,uptrend,3062471.3005371094,-8466.69921875
2024-07-16,normal,3069076.324951172,6605.0244140625
2024-07-17,overheated_range,3062067.975341797,-7008.349609375
2024-07-18,normal,3038351.324951172,-23716.650390625
2024-07-19,normal,3011776.324951172,-26575.0
2024-07-22,normal,2952859.625732422,-58916.69921875
2024-07-23,normal,2972142.9997558594,19283.3740234375
2024-07-24,normal,2926917.9997558594,-45225.0
2024-07-25,normal,2888942.9997558594,-37975.0
2024-07-26,normal,2870082.9997558594,-18860.0
2024-07-29,normal,2898582.9997558594,28500.0
2024-07-30,crash,2878705.6766967773,-19877.32305908203
2024-07-31,crash,2857949.0202026367,-20756.656494140625
2024-08-01,downtrend,2832949.0202026367,-25000.0
2024-08-02,crash,2791949.0202026367,-41000.0
2024-08-05,downtrend,2747349.0202026367,-44600.0
2024-08-06,downtrend,2747349.0202026367,0.0
2024-08-07,downtrend,2747349.0202026367,0.0
2024-08-08,downtrend,2747349.0202026367,0.0
2024-08-09,downtrend,2747349.0202026367,0.0
2024-08-13,downtrend,2747349.0202026367,0.0
2024-08-14,capitulation_end,2745076.5202026367,-2272.5
2024-08-15,capitulation_end,2734576.5202026367,-10500.0
2024-08-16,crash,2771752.0202026367,37175.5
2024-08-19,downtrend,2786002.0202026367,14250.0
2024-08-20,downtrend,2786002.0202026367,0.0
2024-08-21,downtrend,2786002.0202026367,0.0
2024-08-22,downtrend,2786002.0202026367,0.0
2024-08-23,downtrend,2786002.0202026367,0.0
2024-08-26,downtrend,2786002.0202026367,0.0
2024-08-27,downtrend,2786002.0202026367,0.0
2024-08-28,downtrend,2786002.0202026367,0.0
2024-08-29,downtrend,2786002.0202026367,0.0
2024-08-30,normal,2809153.5202026367,23151.5
2024-09-02,normal,2795053.5202026367,-14100.0
2024-09-03,normal,2826353.5202026367,31300.0
2024-09-04,normal,2768253.5202026367,-58100.0
2024-09-05,normal,2767853.5202026367,-400.0
2024-09-06,normal,2766653.5202026367,-1200.0
2024-09-09,crash,2750074.680541992,-16578.83966064453
2024-09-10,crash,2767303.2517089844,17228.571166992188
2024-09-11,crash,2692577.2517089844,-74726.0
2024-09-12,downtrend,2732577.2517089844,40000.0
2024-09-13,downtrend,2732577.2517089844,0.0
2024-09-17,downtrend,2732577.2517089844,0.0
2024-09-18,downtrend,2732577.2517089844,0.0
2024-09-19,downtrend,2732577.2517089844,0.0
2024-09-20,downtrend,2732577.2517089844,0.0
2024-09-24,downtrend,2732577.2517089844,0.0
2024-09-25,downtrend,2732577.2517089844,0.0
2024-09-26,downtrend,2732577.2517089844,0.0
2024-09-27,surge,2732577.2517089844,0.0
2024-09-30,surge,2732577.2517089844,0.0
